               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.039834,           0.0084494,           0.0044739,             0.90681,             0.79171,             0.85364,             0.49738,            0.039025,           0.0091114,           0.0067544,            0.007459,            0.007459,            0.007459
                  79,            0.040288,           0.0092655,           0.0047582,             0.90934,             0.81113,             0.85476,             0.50862,            0.037864,           0.0091858,            0.007529,            0.007426,            0.007426,            0.007426
                  80,            0.038765,           0.0084064,           0.0044784,             0.92742,              0.7777,             0.82608,             0.45826,            0.040561,           0.0093422,           0.0075877,            0.007393,            0.007393,            0.007393
                  81,            0.039842,           0.0079209,           0.0044406,             0.92121,              0.7277,             0.81574,             0.46934,             0.04048,           0.0091162,           0.0088978,             0.00736,             0.00736,             0.00736
                  82,            0.039051,           0.0082317,           0.0046102,             0.94579,             0.78091,              0.8418,              0.5007,            0.038971,           0.0091152,           0.0077324,            0.007327,            0.007327,            0.007327
                  83,            0.037953,           0.0087672,           0.0056117,             0.91947,             0.78779,             0.84985,               0.507,            0.037868,           0.0091019,           0.0073059,            0.007294,            0.007294,            0.007294
                  84,            0.038975,            0.008789,           0.0050746,             0.92545,             0.74139,             0.82774,             0.48572,            0.038496,            0.009551,           0.0091569,            0.007261,            0.007261,            0.007261
                  85,            0.038511,           0.0080891,           0.0044946,             0.91348,             0.75985,             0.82769,              0.5001,            0.038753,           0.0093737,             0.01055,            0.007228,            0.007228,            0.007228
                  86,            0.038198,           0.0085566,           0.0048472,             0.90668,             0.75957,             0.82412,             0.49571,             0.03952,            0.009306,             0.01039,            0.007195,            0.007195,            0.007195
                  87,            0.038913,           0.0082257,           0.0046825,             0.92819,             0.76751,             0.85503,             0.48668,            0.038993,           0.0094318,           0.0090251,            0.007162,            0.007162,            0.007162
                  88,            0.038936,           0.0081239,           0.0045897,             0.89086,             0.79334,             0.85313,             0.50664,            0.038395,            0.009325,            0.010914,            0.007129,            0.007129,            0.007129
                  89,            0.037903,           0.0083606,           0.0044244,             0.90712,             0.82118,             0.86806,             0.51482,            0.036889,           0.0092354,            0.009541,            0.007096,            0.007096,            0.007096
                  90,            0.038106,           0.0084721,           0.0044346,             0.91538,             0.78343,             0.85975,             0.51522,            0.037869,            0.009326,            0.010895,            0.007063,            0.007063,            0.007063
                  91,            0.035938,           0.0082628,           0.0041472,             0.92954,              0.7655,             0.85757,             0.53296,            0.036654,           0.0088873,           0.0085864,             0.00703,             0.00703,             0.00703
                  92,             0.03829,           0.0084679,           0.0041303,             0.87583,             0.82648,             0.86305,             0.52112,             0.03728,           0.0088387,           0.0081329,            0.006997,            0.006997,            0.006997
                  93,            0.037111,           0.0081678,           0.0041679,             0.90485,             0.82003,               0.867,             0.54224,            0.035322,           0.0087023,            0.007731,            0.006964,            0.006964,            0.006964
                  94,             0.03855,           0.0085412,           0.0044233,             0.89233,             0.79501,             0.83496,             0.52586,            0.037035,           0.0088367,            0.007585,            0.006931,            0.006931,            0.006931
                  95,            0.037438,           0.0083973,           0.0044218,             0.89107,             0.79912,             0.85704,             0.52914,            0.036905,            0.008975,           0.0080321,            0.006898,            0.006898,            0.006898
                  96,             0.03756,           0.0084355,           0.0043693,             0.94739,             0.77599,             0.86063,             0.53076,            0.036228,           0.0088253,           0.0082729,            0.006865,            0.006865,            0.006865
                  97,            0.035947,           0.0076552,           0.0045282,             0.91265,             0.79285,             0.84331,             0.52876,            0.035917,           0.0089436,           0.0085447,            0.006832,            0.006832,            0.006832
