                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.97764,                0.59718,                0.90594,                  1.403,                0.72159,                0.88578,                0.79547,                0.68996,                0.73307,                0.46463,                0.93433,                0.66571,                0.93118,                 1.3364,                0.90397,                0.91136,             0.00097168,             0.00097168,             0.00097168
                     41,                 0.9037,                0.57256,                0.90843,                 1.3512,                0.71488,                0.90031,                0.88626,                0.64076,                0.73067,                0.46973,                0.90736,                0.59256,                0.91166,                  1.234,                0.71936,                0.88086,             0.00096801,             0.00096801,             0.00096801
                     42,                0.88396,                0.55948,                0.89813,                  1.315,                0.69167,                0.88883,                0.83992,                0.66016,                0.73189,                0.47753,                 0.8501,                0.58061,                0.89136,                 1.1901,                0.72656,                0.88051,             0.00096435,             0.00096435,             0.00096435
                     43,                0.91513,                0.54402,                0.90072,                 1.3159,                0.65791,                0.88296,                0.77361,                0.69651,                0.73608,                0.47279,                0.88242,                0.63535,                0.90973,                  1.238,                0.73026,                0.90569,             0.00096068,             0.00096068,             0.00096068
                     44,                0.95609,                0.57398,                0.88676,                 1.3562,                0.65288,                0.88072,                0.86092,                0.67374,                0.74391,                0.47884,                0.87986,                0.59815,                0.89828,                 1.2555,                0.68788,                0.91674,             0.00095702,             0.00095702,             0.00095702
                     45,                0.88302,                0.55786,                0.88239,                 1.2698,                0.65187,                0.88368,                0.79927,                0.67018,                0.73105,                0.48876,                0.83198,                0.55108,                0.88863,                 1.2122,                 0.6955,                0.87596,             0.00095335,             0.00095335,             0.00095335
                     46,                0.91494,                0.55624,                0.89462,                 1.3494,                0.65228,                0.88362,                 0.8428,                0.67829,                0.74231,                0.46735,                0.89461,                0.55349,                0.89276,                 1.3483,                0.74002,                0.89018,             0.00094968,             0.00094968,             0.00094968
                     47,                0.89077,                0.55235,                0.90654,                  1.291,                0.65441,                0.89223,                0.91552,                0.65616,                0.76036,                0.48313,                 0.8348,                0.56924,                0.88997,                 1.2396,                0.73523,                0.89634,             0.00094602,             0.00094602,             0.00094602
                     48,                0.83825,                0.53323,                 0.8801,                  1.222,                0.60769,                0.87452,                0.83399,                0.68313,                0.74144,                0.48043,                0.87565,                0.57622,                0.90982,                 1.2704,                0.73337,                 0.9181,             0.00094235,             0.00094235,             0.00094235
                     49,                0.87628,                0.54906,                0.90335,                  1.284,                0.65476,                0.88574,                0.89261,                 0.6668,                0.73613,                0.48373,                 0.8599,                0.61467,                0.89989,                  1.265,                0.65872,                0.90557,             0.00093868,             0.00093868,             0.00093868
                     50,                0.83783,                0.51512,                0.87631,                  1.229,                0.62807,                0.87191,                0.89852,                0.68145,                0.77893,                0.51065,                0.82522,                0.52565,                0.88803,                 1.1524,                0.58804,                0.87175,             0.00093502,             0.00093502,             0.00093502
                     51,                0.86707,                0.52667,                0.87985,                 1.2703,                0.61807,                0.86512,                0.87374,                0.68085,                0.74841,                0.48364,                 0.8607,                0.60921,                0.88956,                 1.2219,                0.70246,                0.89237,             0.00093135,             0.00093135,             0.00093135
                     52,                0.87781,                   0.55,                0.90594,                 1.2629,                 0.6252,                0.88139,                0.84359,                0.66349,                0.72729,                0.48094,                0.87878,                0.64377,                0.90749,                 1.2515,                 0.6952,                0.89003,             0.00092769,             0.00092769,             0.00092769
                     53,                0.84081,                0.52681,                0.87003,                 1.2719,                0.60877,                0.85955,                 0.9185,                0.73765,                 0.7847,                0.50573,                0.86093,                0.57582,                0.90349,                 1.2463,                0.59857,                0.88009,             0.00092402,             0.00092402,             0.00092402
                     54,                0.81941,                0.51835,                0.88189,                 1.2517,                 0.5875,                 0.8768,                0.86841,                 0.7289,                0.77189,                0.51273,                0.85459,                0.52021,                0.90815,                 1.1941,                0.62521,                0.88254,             0.00092035,             0.00092035,             0.00092035
                     55,                0.83834,                0.51729,                 0.8876,                 1.2449,                0.63275,                0.86966,                 0.9164,                0.69738,                0.77665,                0.50772,                0.83638,                0.50153,                0.89124,                 1.1796,                 0.5689,                0.87095,             0.00091669,             0.00091669,             0.00091669
                     56,                0.80327,                0.49251,                0.87089,                 1.2078,                0.57827,                0.86048,                0.93886,                0.70752,                0.76176,                0.48299,                0.83301,                0.53193,                0.91313,                 1.2332,                0.58945,                0.88783,             0.00091302,             0.00091302,             0.00091302
                     57,                0.82309,                0.50683,                0.87312,                 1.2636,                0.60163,                0.86068,                0.95222,                0.69194,                0.76703,                0.47116,                0.86705,                0.52202,                0.90811,                 1.2744,                0.61523,                0.89522,             0.00090935,             0.00090935,             0.00090935
                     58,                 0.8303,                0.52598,                0.87729,                 1.2249,                0.59475,                0.86896,                0.84661,                0.70345,                0.74221,                0.46929,                0.86926,                0.63988,                0.89746,                 1.1858,                0.70835,                0.88689,             0.00090569,             0.00090569,             0.00090569
                     59,                0.80687,                0.48656,                 0.8599,                 1.2051,                0.54627,                0.85438,                0.93996,                0.68084,                0.76061,                0.48311,                   0.87,                0.62464,                0.89607,                 1.2253,                0.68193,                0.88126,             0.00090202,             0.00090202,             0.00090202
                     60,                0.83856,                0.51827,                0.87561,                 1.2704,                0.61742,                0.86929,                0.90327,                0.70029,                 0.7583,                0.49919,                0.88968,                0.56244,                0.91008,                 1.2549,                0.64169,                0.89314,             0.00089835,             0.00089835,             0.00089835
                     61,                0.81012,                  0.495,                0.86333,                 1.1981,                0.58534,                0.85629,                0.88989,                0.73418,                 0.7673,                0.49336,                0.90086,                0.53997,                0.91971,                 1.2776,                0.56842,                0.90117,             0.00089469,             0.00089469,             0.00089469
                     62,                0.80328,                0.48592,                0.86176,                 1.1755,                0.52925,                0.85637,                0.89703,                0.72385,                0.76897,                0.50454,                0.82271,                0.55809,                0.88216,                 1.2088,                0.62137,                0.86602,             0.00089102,             0.00089102,             0.00089102
                     63,                0.79196,                0.47559,                0.88111,                 1.2021,                0.56121,                0.86645,                0.87678,                0.72195,                0.77765,                0.51842,                0.84424,                0.49232,                0.90443,                  1.201,                0.52751,                0.87847,             0.00088736,             0.00088736,             0.00088736
                     64,                0.77816,                0.49235,                0.87236,                 1.2004,                 0.5736,                0.85895,                0.89043,                0.71451,                0.75008,                0.48309,                0.83558,                0.52077,                0.91116,                 1.2137,                  0.612,                0.87679,             0.00088369,             0.00088369,             0.00088369
                     65,                0.82379,                0.49291,                 0.8769,                 1.2339,                0.55098,                0.86525,                0.91218,                0.72758,                 0.7959,                0.51082,                0.80113,                0.48071,                0.89044,                 1.1866,                0.56777,                0.87208,             0.00088002,             0.00088002,             0.00088002
                     66,                0.76695,                0.48455,                0.85363,                 1.1748,                0.54573,                0.85099,                0.92605,                0.71882,                0.78143,                0.50997,                0.80911,                0.50364,                0.88507,                  1.234,                0.56035,                0.88709,             0.00087636,             0.00087636,             0.00087636
                     67,                0.73534,                0.46802,                0.86398,                 1.1305,                0.53252,                0.85885,                0.89972,                0.72697,                0.77402,                0.50952,                 0.7988,                0.48099,                0.88196,                 1.2334,                0.53835,                0.88057,             0.00087269,             0.00087269,             0.00087269
                     68,                0.78674,                0.46528,                0.88556,                 1.2374,                0.57127,                0.87507,                0.88112,                0.73852,                 0.7749,                0.51138,                0.82182,                0.45933,                0.87876,                  1.224,                0.53959,                0.86851,             0.00086902,             0.00086902,             0.00086902
                     69,                0.75949,                0.46002,                0.85322,                 1.1885,                0.54556,                0.84381,                0.89129,                0.71751,                0.76243,                0.50368,                0.79272,                 0.4592,                0.89132,                 1.2169,                0.52322,                 0.8737,             0.00086536,             0.00086536,             0.00086536
                     70,                0.78711,                0.47098,                0.87456,                 1.1981,                0.55277,                0.86115,                0.89809,                 0.7009,                0.76627,                0.49382,                0.81064,                0.50308,                0.86194,                 1.1725,                0.60477,                0.85784,             0.00086169,             0.00086169,             0.00086169
                     71,                0.74905,                0.43715,                0.84573,                 1.1737,                0.51338,                0.84348,                0.85076,                0.75108,                0.78553,                 0.5223,                0.76257,                0.50051,                0.85231,                 1.1108,                0.59821,                  0.854,             0.00085803,             0.00085803,             0.00085803
                     72,                0.78759,                 0.4732,                0.86262,                 1.1674,                0.56223,                0.85916,                0.91471,                0.71673,                0.77082,                 0.5073,                0.81301,                0.48209,                0.86809,                 1.1604,                0.60128,                0.85827,             0.00085436,             0.00085436,             0.00085436
                     73,                 0.7413,                0.44156,                 0.8652,                 1.1495,                0.53931,                0.85803,                0.88866,                0.68808,                0.76301,                0.51856,                0.77474,                0.51897,                  0.866,                 1.1076,                0.66221,                0.87888,             0.00085069,             0.00085069,             0.00085069
                     74,                 0.7225,                0.42281,                0.84881,                 1.1393,                0.48588,                0.84286,                0.89701,                0.69935,                0.77112,                0.48363,                0.83776,                0.54839,                0.90259,                 1.2597,                0.66132,                0.88227,             0.00084703,             0.00084703,             0.00084703
                     75,                0.77179,                0.46386,                0.86523,                 1.1992,                0.52829,                0.85469,                0.90966,                0.71862,                0.78035,                0.51337,                0.78705,                0.51423,                0.86002,                 1.1579,                0.60691,                0.84717,             0.00084336,             0.00084336,             0.00084336
                     76,                0.71531,                0.43449,                0.84241,                 1.1346,                0.51054,                0.83792,                0.89906,                0.74915,                0.80183,                0.52026,                0.79198,                0.49975,                0.86764,                 1.1707,                0.56335,                 0.8659,             0.00083969,             0.00083969,             0.00083969
                     77,                0.75327,                0.47149,                0.85665,                 1.1461,                0.54602,                0.85449,                0.96541,                0.72387,                0.79914,                0.51149,                0.83969,                0.51893,                0.89371,                 1.1998,                0.54181,                0.88946,             0.00083603,             0.00083603,             0.00083603
                     78,                0.74812,                0.46015,                0.86108,                 1.1529,                  0.551,                0.84892,                0.91103,                0.74128,                0.79688,                0.51604,                0.79661,                0.47507,                0.87393,                 1.1741,                0.54247,                0.86638,             0.00083236,             0.00083236,             0.00083236
                     79,                0.75196,                0.44452,                 0.8675,                 1.1481,                0.51771,                0.85521,                0.91392,                  0.709,                0.77307,                0.51555,                0.80771,                0.48248,                 0.8784,                 1.1717,                0.58446,                0.87678,             0.00082869,             0.00082869,             0.00082869
                     80,                 0.7569,                0.45468,                0.85799,                 1.1685,                0.55123,                0.85221,                0.90437,                0.70236,                0.76912,                0.50855,                0.79556,                0.50113,                0.87412,                 1.2112,                0.57129,                0.87749,             0.00082503,             0.00082503,             0.00082503
                     81,                0.75497,                 0.4751,                0.84178,                 1.1408,                0.55088,                0.84335,                0.86457,                0.69517,                0.75483,                0.51347,                0.79797,                0.51719,                0.87286,                 1.1814,                0.62032,                0.87797,             0.00082136,             0.00082136,             0.00082136
                     82,                 0.7432,                0.44395,                0.86523,                 1.1585,                0.52345,                0.85815,                0.88794,                 0.7376,                0.77746,                0.51221,                  0.806,                0.49053,                0.87771,                 1.1769,                0.56457,                0.87594,              0.0008177,              0.0008177,              0.0008177
                     83,                0.73912,                 0.4562,                0.85395,                 1.1586,                0.52469,                0.84826,                0.89047,                0.74496,                0.78375,                 0.5185,                0.81187,                0.48993,                0.87967,                 1.1788,                0.56274,                0.88078,             0.00081403,             0.00081403,             0.00081403
