                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.87384,                0.53178,                0.90183,                 1.3014,                0.61294,                0.87632,                0.88191,                0.67691,                0.74077,                0.47581,                0.91622,                0.56884,                0.92545,                 1.3156,                0.70432,                0.89522,             0.00093502,             0.00093502,             0.00093502
                     51,                0.92522,                0.59969,                0.89212,                 1.3414,                0.71189,                0.88265,                0.89769,                0.65783,                0.74451,                0.46881,                0.95647,                0.57199,                0.90277,                 1.3327,                0.68416,                0.88187,             0.00093135,             0.00093135,             0.00093135
                     52,                 0.8513,                0.50813,                0.86956,                 1.3121,                0.59413,                0.86832,                0.82594,                0.66776,                0.72768,                0.46992,                0.89993,                0.67118,                0.90489,                 1.2756,                0.77327,                0.89311,             0.00092769,             0.00092769,             0.00092769
                     53,                0.89603,                0.59908,                0.89061,                 1.3181,                0.66178,                0.88334,                0.84445,                0.71234,                0.74992,                0.49342,                0.88595,                0.55345,                0.88159,                 1.2796,                0.62484,                0.87135,             0.00092402,             0.00092402,             0.00092402
                     54,                0.86818,                0.54592,                0.86312,                 1.2906,                0.63198,                0.86291,                0.91888,                0.67867,                0.75273,                0.48259,                0.91203,                0.55626,                0.89798,                 1.2916,                0.61889,                0.87766,             0.00092035,             0.00092035,             0.00092035
                     55,                0.84052,                0.52979,                0.87992,                 1.2453,                 0.6105,                0.86149,                0.85328,                0.64754,                0.71924,                0.46729,                0.90915,                0.67175,                0.90641,                 1.2507,                0.75956,                0.87678,             0.00091669,             0.00091669,             0.00091669
                     56,                0.84215,                0.54102,                 0.8833,                 1.2781,                0.66388,                0.88121,                0.85149,                0.68707,                0.74829,                0.48832,                0.89123,                 0.5106,                 0.8978,                 1.2776,                0.64119,                0.87518,             0.00091302,             0.00091302,             0.00091302
                     57,                0.86344,                 0.5118,                0.88792,                 1.2691,                 0.6183,                0.88123,                0.87834,                0.71583,                0.77542,                0.50594,                0.86602,                 0.5178,                0.88446,                 1.2341,                0.60678,                 0.8689,             0.00090935,             0.00090935,             0.00090935
                     58,                0.85785,                0.52366,                0.89073,                 1.2666,                0.61585,                0.87724,                  0.924,                0.69428,                0.77195,                0.50035,                0.84141,                0.53267,                0.87698,                 1.2156,                0.59302,                0.86265,             0.00090569,             0.00090569,             0.00090569
                     59,                0.81133,                0.47839,                0.86735,                 1.1853,                0.55489,                0.85803,                0.86986,                0.68814,                0.75596,                0.50669,                0.83428,                0.51805,                0.87458,                 1.1832,                 0.5853,                0.86157,             0.00090202,             0.00090202,             0.00090202
                     60,                 0.8399,                0.49117,                0.86231,                 1.2668,                0.61538,                0.85446,                0.92833,                0.64709,                0.75462,                0.49783,                0.87956,                0.58308,                0.87836,                  1.265,                0.64698,                0.87092,             0.00089835,             0.00089835,             0.00089835
                     61,                0.80882,                0.50503,                0.85832,                 1.1925,                0.60876,                0.84593,                0.89511,                0.71759,                0.77661,                0.49829,                0.87965,                0.50439,                0.88216,                 1.2737,                0.63675,                0.86773,             0.00089469,             0.00089469,             0.00089469
                     62,                 0.8126,                0.50342,                0.88666,                 1.1568,                 0.6185,                0.86747,                0.89238,                0.69193,                0.76098,                 0.4996,                0.87244,                0.51033,                0.87585,                 1.2373,                  0.608,                0.86063,             0.00089102,             0.00089102,             0.00089102
                     63,                0.80198,                0.49101,                0.87091,                 1.2389,                0.59601,                0.86387,                0.92872,                0.69663,                0.76931,                0.48843,                0.85494,                0.50619,                  0.873,                 1.2682,                0.62727,                0.86185,             0.00088736,             0.00088736,             0.00088736
                     64,                0.81748,                0.50858,                0.88838,                   1.27,                0.63733,                0.87154,                0.92573,                0.68344,                0.77748,                0.50848,                0.85252,                0.50864,                0.87762,                 1.2161,                 0.6043,                0.86396,             0.00088369,             0.00088369,             0.00088369
                     65,                0.85199,                0.53142,                0.86169,                 1.2048,                0.65069,                0.85121,                 0.8832,                0.72067,                0.77854,                0.49762,                0.82289,                0.49721,                 0.8578,                 1.2278,                0.60156,                0.85704,             0.00088002,             0.00088002,             0.00088002
                     66,                0.81881,                0.50211,                0.87669,                 1.2421,                0.63047,                0.86534,                0.89805,                0.68649,                0.74897,                0.49648,                0.84735,                0.51436,                0.86898,                 1.2234,                0.61653,                0.86666,             0.00087636,             0.00087636,             0.00087636
                     67,                0.77077,                0.46293,                0.82837,                 1.1351,                0.54949,                0.81862,                0.93468,                0.66327,                0.74723,                0.50744,                 0.7935,                0.51137,                0.86412,                 1.1809,                0.58434,                0.85826,             0.00087269,             0.00087269,             0.00087269
                     68,                0.86523,                0.53065,                0.86351,                 1.2958,                0.64248,                0.85661,                0.89552,                0.67796,                0.74441,                0.48535,                0.84765,                  0.579,                0.88328,                 1.2257,                0.64388,                0.85647,             0.00086902,             0.00086902,             0.00086902
                     69,                0.78219,                 0.5131,                0.85838,                 1.2011,                0.63541,                0.85406,                0.91478,                0.68143,                0.74095,                0.50366,                0.84658,                0.52118,                0.86518,                 1.1819,                0.57936,                  0.854,             0.00086536,             0.00086536,             0.00086536
                     70,                0.79297,                0.48795,                0.86075,                 1.1546,                 0.5466,                 0.8497,                0.92584,                 0.6425,                0.73797,                0.50263,                0.84537,                 0.5195,                0.86733,                 1.1777,                0.62049,                0.84634,             0.00086169,             0.00086169,             0.00086169
                     71,                0.77472,                0.49016,                0.86233,                 1.1799,                0.56777,                0.86311,                0.88482,                0.69766,                0.75733,                0.50563,                0.78981,                0.49242,                0.85147,                 1.1561,                0.54421,                0.85033,             0.00085803,             0.00085803,             0.00085803
                     72,                0.76265,                0.47999,                0.85467,                 1.1605,                0.50704,                 0.8435,                0.87309,                0.71573,                0.77821,                0.51174,                0.82446,                 0.5135,                0.86016,                 1.2168,                0.54795,                0.85987,             0.00085436,             0.00085436,             0.00085436
                     73,                0.74488,                0.47194,                 0.8663,                 1.1404,                0.53612,                0.85962,                0.89051,                0.72645,                0.79041,                0.51809,                0.82318,                0.50051,                0.86244,                 1.2201,                0.53961,                0.86592,             0.00085069,             0.00085069,             0.00085069
                     74,                0.85323,                0.56483,                0.85574,                  1.266,                0.68203,                0.84265,                0.90006,                0.70687,                0.78309,                0.51348,                 0.8543,                0.52474,                0.88926,                 1.1946,                0.56637,                0.86323,             0.00084703,             0.00084703,             0.00084703
                     75,                0.76677,                0.47831,                 0.8581,                 1.1458,                0.56694,                0.84881,                 0.8891,                0.69309,                0.76085,                0.50591,                0.81754,                0.50305,                0.88593,                 1.1864,                0.57455,                0.85305,             0.00084336,             0.00084336,             0.00084336
                     76,                0.72402,                0.46174,                0.84593,                 1.1271,                0.57982,                0.84123,                0.94375,                0.67638,                0.76401,                0.50999,                0.85262,                0.48612,                0.88486,                 1.2074,                0.57823,                0.85368,             0.00083969,             0.00083969,             0.00083969
                     77,                0.77229,                0.46915,                0.84236,                  1.158,                0.54293,                0.83306,                0.93646,                0.68353,                0.76709,                0.50526,                0.83971,                0.51179,                0.87109,                 1.1496,                0.61599,                0.84133,             0.00083603,             0.00083603,             0.00083603
                     78,                 0.7722,                0.46127,                0.84593,                 1.1952,                0.56686,                0.83597,                0.91683,                0.69847,                0.77368,                0.51567,                0.84247,                0.48528,                0.86707,                 1.1605,                0.54449,                0.83645,             0.00083236,             0.00083236,             0.00083236
                     79,                0.77211,                0.45403,                 0.8347,                 1.1741,                0.49871,                0.82815,                0.90553,                0.69421,                0.75992,                0.52365,                0.84236,                0.49857,                0.87098,                 1.1639,                0.56835,                  0.844,             0.00082869,             0.00082869,             0.00082869
                     80,                0.77332,                0.46026,                0.85361,                  1.128,                0.50301,                0.83895,                0.91056,                0.68669,                0.75295,                0.49917,                0.88535,                0.50119,                0.87264,                 1.2544,                0.56286,                 0.8553,             0.00082503,             0.00082503,             0.00082503
                     81,                0.74471,                0.43135,                0.81114,                 1.1018,                0.45809,                0.80055,                 0.8712,                0.70208,                0.76483,                0.49052,                0.84645,                0.51432,                0.86683,                 1.2542,                0.57971,                0.85675,             0.00082136,             0.00082136,             0.00082136
